areaCode,areaName,areaType,date,newAdmissions
S92000003,Scotland,nation,2020-10-14,117
S92000003,Scotland,nation,2020-10-13,123
S92000003,Scotland,nation,2020-10-12,106
S92000003,Scotland,nation,2020-10-11,81
S92000003,Scotland,nation,2020-10-10,74
S92000003,Scotland,nation,2020-10-09,81
S92000003,Scotland,nation,2020-10-08,96
S92000003,Scotland,nation,2020-10-07,86
S92000003,Scotland,nation,2020-10-06,94
S92000003,Scotland,nation,2020-10-05,74
S92000003,Scotland,nation,2020-10-04,46
S92000003,Scotland,nation,2020-10-03,49
S92000003,Scotland,nation,2020-10-02,56
S92000003,Scotland,nation,2020-10-01,63
S92000003,Scotland,nation,2020-09-30,46
S92000003,Scotland,nation,2020-09-29,31
S92000003,Scotland,nation,2020-09-28,44
S92000003,Scotland,nation,2020-09-27,33
S92000003,Scotland,nation,2020-09-26,34
S92000003,Scotland,nation,2020-09-25,35
S92000003,Scotland,nation,2020-09-24,33
S92000003,Scotland,nation,2020-09-23,25
S92000003,Scotland,nation,2020-09-22,31
S92000003,Scotland,nation,2020-09-21,26
S92000003,Scotland,nation,2020-09-20,17
S92000003,Scotland,nation,2020-09-19,19
S92000003,Scotland,nation,2020-09-18,13
S92000003,Scotland,nation,2020-09-17,19
S92000003,Scotland,nation,2020-09-16,30
S92000003,Scotland,nation,2020-09-15,17
S92000003,Scotland,nation,2020-09-14,18
S92000003,Scotland,nation,2020-09-13,13
S92000003,Scotland,nation,2020-09-12,15
S92000003,Scotland,nation,2020-09-11,18
S92000003,Scotland,nation,2020-09-10,18
S92000003,Scotland,nation,2020-09-09,8
S92000003,Scotland,nation,2020-09-08,11
S92000003,Scotland,nation,2020-09-07,14
S92000003,Scotland,nation,2020-09-06,6
